Date,Open,High,Low,Close
10/19/23, 0.010434, 0.010434, 0.010434, 0.010434
10/18/23, 0.010201, 0.010342, 0.010193, 0.010193
10/17/23, 0.010264, 0.010323, 0.010188, 0.010201
10/16/23, 0.010235, 0.015970, 0.010194, 0.010264
10/13/23, 0.010233, 0.010416, 0.010213, 0.010235
10/12/23, 0.009950, 0.010488, 0.009950, 0.010233
10/11/23, 0.009970, 0.010230, 0.009931, 0.010099
10/10/23, 0.010050, 0.010137, 0.009921, 0.009970
10/09/23, 0.009901, 0.010111, 0.009705, 0.010025
10/06/23, 0.009988, 0.010249, 0.009804, 0.009901
10/05/23, 0.010020, 0.018288, 0.009978, 0.009988
10/04/23, 0.010083, 0.010185, 0.009901, 0.009965
10/03/23, 0.010121, 0.010235, 0.009970, 0.010083
10/02/23, 0.010204, 0.010343, 0.010040, 0.010121
09/29/23, 0.010390, 0.010456, 0.010203, 0.010204
09/28/23, 0.010301, 0.010413, 0.010270, 0.010347
09/27/23, 0.010352, 0.010599, 0.010301, 0.010301
09/26/23, 0.010536, 0.010544, 0.010235, 0.010309
09/25/23, 0.010536, 0.010536, 0.010536, 0.010536
09/22/23, 0.010504, 0.010504, 0.010357, 0.010384
09/21/23, 0.010414, 0.010571, 0.010338, 0.010406
09/20/23, 0.010417, 0.010465, 0.010288, 0.010414
09/19/23, 0.010422, 0.010548, 0.010230, 0.010417
09/18/23, 0.010331, 0.010463, 0.010241, 0.010379
09/15/23, 0.010390, 0.010515, 0.010283, 0.010331
09/14/23, 0.010395, 0.010524, 0.010303, 0.010443
09/13/23, 0.010417, 0.010788, 0.010280, 0.010384
09/12/23, 0.010521, 0.010810, 0.010417, 0.010417
09/11/23, 0.010230, 0.010521, 0.010230, 0.010521
09/08/23, 0.010152, 0.010333, 0.010124, 0.010212
09/07/23, 0.010163, 0.010323, 0.010126, 0.010152
09/06/23, 0.010334, 0.010334, 0.010152, 0.010163
09/05/23, 0.010323, 0.010390, 0.010187, 0.010315
09/04/23, 0.010373, 0.010447, 0.010301, 0.010323
09/01/23, 0.010430, 0.010508, 0.010339, 0.010373
08/31/23, 0.010400, 0.010493, 0.010331, 0.010430
08/30/23, 0.010479, 0.010484, 0.010303, 0.010400
08/29/23, 0.010582, 0.010717, 0.010360, 0.010479
08/28/23, 0.010526, 0.010638, 0.010400, 0.010582
08/25/23, 0.010582, 0.010677, 0.010450, 0.010526
08/24/23, 0.010638, 0.010853, 0.010513, 0.010554
08/23/23, 0.010582, 0.010707, 0.010526, 0.010638
08/22/23, 0.010695, 0.010764, 0.010526, 0.010554
08/21/23, 0.010627, 0.010789, 0.010535, 0.010695
08/18/23, 0.010582, 0.010881, 0.010417, 0.010627
08/17/23, 0.010272, 0.010929, 0.010272, 0.010582
08/16/23, 0.010101, 0.010731, 0.010101, 0.010582
08/15/23, 0.010101, 0.010101, 0.010101, 0.010101
08/14/23, 0.010001, 0.010309, 0.009768, 0.010309
08/11/23, 0.010274, 0.010364, 0.010001, 0.010001
08/10/23, 0.010323, 0.010448, 0.010204, 0.010274
08/09/23, 0.010288, 0.010447, 0.010164, 0.010323
08/08/23, 0.010458, 0.010576, 0.010236, 0.010288
08/07/23, 0.010430, 0.010524, 0.010271, 0.010458
08/04/23, 0.010582, 0.010987, 0.010266, 0.010430
08/03/23, 0.010603, 0.010817, 0.010363, 0.010582
08/02/23, 0.010821, 0.010971, 0.010588, 0.010603
08/01/23, 0.010937, 0.011038, 0.010821, 0.010821
07/31/23, 0.010862, 0.011060, 0.010809, 0.010937
07/28/23, 0.011025, 0.011198, 0.010837, 0.010862
07/27/23, 0.011111, 0.011257, 0.011013, 0.011025
07/26/23, 0.011080, 0.011249, 0.011061, 0.011111
07/25/23, 0.011056, 0.011250, 0.011034, 0.011035
07/24/23, 0.010989, 0.011259, 0.010982, 0.011056
07/21/23, 0.011062, 0.011188, 0.010977, 0.010989
07/20/23, 0.010902, 0.011095, 0.010875, 0.010965
07/19/23, 0.011019, 0.011083, 0.010902, 0.010902
07/18/23, 0.011068, 0.011191, 0.010933, 0.011019
07/17/23, 0.011080, 0.011145, 0.011002, 0.011095
07/14/23, 0.011095, 0.011163, 0.011037, 0.011080
07/13/23, 0.011050, 0.011179, 0.010937, 0.011095
07/12/23, 0.011050, 0.011179, 0.010991, 0.011050
07/11/23, 0.010977, 0.011144, 0.010977, 0.011080
07/10/23, 0.010977, 0.010977, 0.010977, 0.010977
07/07/23, 0.010959, 0.011111, 0.010822, 0.010958
07/06/23, 0.011013, 0.011113, 0.010574, 0.010959
07/05/23, 0.010989, 0.011265, 0.010958, 0.011062
07/04/23, 0.011173, 0.011358, 0.010989, 0.010989
07/03/23, 0.011258, 0.011370, 0.011112, 0.011173
06/30/23, 0.011513, 0.011513, 0.011136, 0.011258
06/29/23, 0.011643, 0.011903, 0.011396, 0.011513
06/28/23, 0.011699, 0.011793, 0.011511, 0.011643
06/27/23, 0.011847, 0.011847, 0.011660, 0.011699
06/26/23, 0.011955, 0.011962, 0.011493, 0.011847
06/23/23, 0.012348, 0.012348, 0.011696, 0.011955
06/22/23, 0.011955, 0.012348, 0.011876, 0.012348
06/21/23, 0.011926, 0.011978, 0.011714, 0.011859
06/20/23, 0.011926, 0.012049, 0.011771, 0.011800
06/19/23, 0.011923, 0.012047, 0.011817, 0.011926
06/16/23, 0.011979, 0.012015, 0.011885, 0.011923
06/15/23, 0.011905, 0.012063, 0.011819, 0.011979
06/14/23, 0.011912, 0.012173, 0.011693, 0.011905
06/13/23, 0.011922, 0.012134, 0.011854, 0.011873
06/12/23, 0.012088, 0.012194, 0.011922, 0.011922
06/09/23, 0.012194, 0.012268, 0.012037, 0.012088
06/08/23, 0.012262, 0.012458, 0.012070, 0.012194
06/07/23, 0.012293, 0.012448, 0.012195, 0.012195
06/06/23, 0.012376, 0.012553, 0.012239, 0.012252
06/05/23, 0.012376, 0.012480, 0.012173, 0.012376
06/02/23, 0.012346, 0.012441, 0.012269, 0.012376
06/01/23, 0.012262, 0.012484, 0.012262, 0.012346
05/31/23, 0.012556, 0.012577, 0.012251, 0.012262
05/30/23, 0.012461, 0.013301, 0.012250, 0.012556
05/29/23, 0.012658, 0.012669, 0.012162, 0.012409
05/26/23, 0.012496, 0.012658, 0.012373, 0.012658
05/25/23, 0.012467, 0.012656, 0.012418, 0.012496
05/24/23, 0.012475, 0.012684, 0.012405, 0.012406
05/23/23, 0.012422, 0.012587, 0.012381, 0.012475
05/22/23, 0.012484, 0.012656, 0.012422, 0.012422
05/19/23, 0.012438, 0.012648, 0.012296, 0.012484
05/18/23, 0.012453, 0.012581, 0.012424, 0.012438
05/17/23, 0.012424, 0.012519, 0.012302, 0.012453
05/16/23, 0.012535, 0.012665, 0.012372, 0.012385
05/15/23, 0.012873, 0.012873, 0.012516, 0.012535
05/12/23, 0.012987, 0.013122, 0.012768, 0.012873
05/11/23, 0.013139, 0.013324, 0.012825, 0.012987
05/10/23, 0.012870, 0.013187, 0.012756, 0.013139
05/09/23, 0.012866, 0.012937, 0.012728, 0.012870
05/08/23, 0.012851, 0.013072, 0.012744, 0.012866
05/05/23, 0.012739, 0.013124, 0.012727, 0.012851
